soil_moisture_pct,crop_type_index,field_size_hectares,temperature_c,irrigation_hours
21.0,4,28.7,54.5,19.33
39.1,2,31.0,55.7,11.67
55.9,1,65.7,63.7,16.66
19.0,2,90.4,70.2,23.25
54.8,4,66.7,70.3,22.59
38.4,1,61.7,57.9,16.53
19.8,1,48.8,41.5,13.3
12.6,3,68.9,84.9,27.0
10.2,2,46.0,53.4,17.77
29.7,2,59.5,63.0,18.59
34.7,3,40.0,66.7,17.35
37.6,5,81.4,89.8,27.0
24.1,4,93.5,78.4,27.0
34.4,4,63.1,42.7,18.56
47.5,2,52.9,41.0,14.32
11.0,3,60.3,54.7,18.53
20.3,5,41.7,65.2,24.63
49.5,1,90.1,41.8,15.19
40.3,5,96.7,53.0,27.0
49.8,2,89.8,50.8,19.4
